class,school,stud
acht,gym,23
sieben,gym,25
sieben,gym,26
neun,mittel,23
neun,mittel,24
neun,mittel,16
sieben,mittel,20
sieben,mittel,19
sieben,gym,23
sechs,gym,32
zehn,gym,33
fünf,gym,29
fünf,gym,29
fünf,gym,23
acht,gym,29
neun,gym,29
sechs,real,27
sechs,real,25
sieben,real,19
sieben,real,22
acht,gym,31
sieben,gym,24
fünf,gym,23
acht,gym,29
neun,gym,21
sechs,gym,26
sieben,mittel,17
sieben,mittel,17
sieben,mittel,14
sieben,mittel,18
sieben,gym,23
sechs,gym,26
acht,gym,25
sechs,mittel,25
sieben,mittel,23
sieben,mittel,21
fünf,mittel,14
neun,mittel,20
acht,mittel,25
acht,mittel,24
sieben,mittel,17
sieben,real,18
sieben,real,30
acht,mittel,20
sieben,mittel,16
sieben,mittel,18
fünf,gym,27
fünf,gym,28
acht,gym,23
acht,gym,24
fünf,gym,28
acht,real,33
sieben,real,31
sieben,gym,27
sieben,gym,27
sieben,gym,25
acht,real,15
sieben,real,28
sieben,real,29
sechs,real,32
sieben,real,28
acht,real,16
sieben,real,19
sieben,real,25
sechs,real,24
sechs,real,23
acht,real,11
sieben,real,14
acht,real,18
fünf,mittel,13
fünf,mittel,18
fünf,mittel,18
fünf,mittel,9
fünf,mittel,21
fünf,mittel,16
fünf,mittel,18
fünf,mittel,21
acht,gym,25
neun,gym,31
acht,gym,33
sieben,gym,25
sieben,mittel,19
sieben,mittel,24
sieben,mittel,22
sieben,mittel,19
sieben,mittel,22
fünf,mittel,20
sechs,mittel,20
